DATE,BLAST,Pit,Ore/Waste,Type of Material,Diameter,Lenght,Length Total,Subdrill,Burden,Spacing,Stemming,Total of Holes,Weight (kg),BCM,PF (kg/m3),Meters Drilled (m),Burden Old,Spacing Old,Stemming Old,Total of Holes Old,Weight Old,PF (kg/m3) Old,Meters Drilled Old,D20,D50,D80,Xmas (mm),Uniformity index,Initiation System,Number of Photos Analysed,Actual powder factor,Planned powder factor,Passing on 600 mm pourcentage
2025-07-02 00:00:00,VIN1_261-255_104,1,1,10140,140,6,7.2,1.2,3.9,4.4,2.6,119,10695,12252,0.9,869,3.8,4.2,2.6,127.94,7970.33,0.65,934.32,34.53,75.13,212.12,656,1.41,Nonel ,6,0.8,0.82,97.21
2025-07-07 00:00:00,VIN1_261-255_103,1,1,10140,140,6,7.2,1.2,3.9,4.4,2.6,146,12910,15032,0.9,1051,3.8,4.2,2.6,156.98,9778.81,0.65,1130.01,34.53,75.13,212.12,656,1.41,Nonel ,6,0.8,0.82,97.21
2025-07-07 00:00:00,VIN1_261-255_104,1,1,10140,140,6,7.2,1.2,3.9,4.4,2.6,42,2765,4324,0.6,295,3.8,4.2,2.6,45.15,2812.91,0.65,317.16,34.53,75.13,212.12,656,1.41,Nonel ,6,0.8,0.82,97.21
2025-07-07 00:00:00,VIN1_261-249_106p2,1,1,10152,152,12,13.2,1.2,3.9,4.4,2.8,49,2725,5045.04,0.5,295,3.8,4.3,2.8,51.28,3567.00,0.71,308.75,48.07,109.8,222.69,568,1.62,Nonel ,6,0.5,1.09,100
2025-07-10 00:00:00,Kp_250-240_123,30,1,10152,152,10,11.2,1.2,3.8,4.3,2.8,357,59352,58333.8,1.0,3754.8,3.7,4.2,2.8,375.38,62569.10,1.07,3948.10,25.82,59.68,214.9,457,1.35,Nonel ,6,1.1,1.11,100
2025-07-11 00:00:00,Hn2_153-147_105,2,1,10140,140,6,7.2,1.2,3.4,3.9,2.7,358,26500,28482.48,0.9,2294.4,3.4,3.7,2.7,377.35,25643.08,0.90,2418.42,37.29,95.82,281.9,650,1.36,Nonel ,6,1.2,1.04,96.54
2025-07-15 00:00:00,Kp_250-240_124,30,2,10152,152,10,11.2,1.2,3.8,4.3,2.8,366,67330,59804.4,1.1,3926.577778,3.7,4.2,2.8,384.84,65897.80,1.10,4128.72,30,91.85,232.04,453,1.2,Nonel ,6,1.1,1.11,100
2025-07-21 00:00:00,Kw_290-280_107,40,1,10152,152,10,11,1,3.6,4.2,2.6,519,93340,78472.8,1.2,5517.6,3.6,4.1,2.6,531.66,92218.85,1.18,5652.18,37.64,110.68,278.66,558,1.26,Nonel ,6,1.2,1.16,100
2025-07-24 00:00:00,Hn2_153-147_102,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.7,524,34999,35087.04,1.0,3250,3.1,3.4,2.7,554.82,35602.59,1.01,3441.18,35.28,92.26,248.7,602,1.29,Nonel ,7,1.2,1.23,98.52
2025-07-25 00:00:00,Kp_250-240_126-p1,30,1,10152,152,10,11.2,1.2,3.8,4.3,2.8,324,55583,52941.6,1.0,3415,3.7,4.2,2.8,340.68,56950.78,1.08,3590.80,26.4,62.31,241.03,483,1.55,Nonel ,6,0.9,1.11,100
2025-07-27 00:00:00,Hn2_165-159_117,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.8,48,3098,3214.08,1.0,293,3.1,3.4,2.8,50.82,3076.82,0.96,310.24,44.41,106.18,272.86,629,1.42,Nonel ,7,1.0,1.20,98.64
2025-07-27 00:00:00,Hn2_165-159_117,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.8,48,3098,3214.08,1.0,293,3.1,3.4,2.8,50.82,3076.82,0.96,310.24,33.72,69.34,244.61,690,1.31,Nonel,5,1.5,1.20,99.23
2025-07-28 00:00:00,VIN1_255-243_104,1,1,10152,152,12,13.2,1.2,3.9,4.5,3,96,12089,14657.76,0.8,841,3.8,4.3,3,102.40,12739.44,0.87,897.05,56.33,121.18,258.71,650,1.71,Nonel ,8,0.8,1.05,98.02
2025-08-02 00:00:00,Hn2_165-159_117p2,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.8,35,2115,2466.36,1.5,221,3.1,3.4,2.8,39.00,2511.17,1.02,246.26,33.72,69.34,244.61,690,1.31,Nonel,5,1.5,1.20,99.23
2025-08-04 00:00:00,Kp_250-240_125,30,2,10140,140,10,11.2,1.2,3.5,4,2.7,249,38700,34860,1.1,2796,3.4,3.9,2.7,262.90,41082.07,1.18,2952.04,40.31,103.86,262.6,670,1.36,Nonel,5,1.1,1.11,100
2025-08-04 00:00:00,Kp_250-240_127,30,2,10140,140,10,11.2,1.2,3.5,4,2.7,238,36850,33320,1.1,2833,3.4,3.9,2.7,251.28,42372.35,1.27,2991.10,30.44,90.8,247.56,394.22,1.22,Nonel,5,1.1,1.11,96.54
2025-08-04 00:00:00,Kp_250-240_130,30,2,10140,140,10,11.2,1.2,3.5,4,2.7,167,27907,23380,1.2,1943,3.4,3.9,2.7,176.32,28864.04,1.23,2051.43,38.25,116.29,258.74,558,1.3,Nonel,6,1.2,1.11,100
2025-08-09 00:00:00,Hn2_159-153_105,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,89,7374,5959,1.2,618,3.2,3.4,2.5,91.28,7432.32,1.25,633.86,36.18,98.84,270.67,601,1.3,Electronic,6,1.2,1.29,95
2025-08-09 00:00:00,Hn2_159-147_106,2,1,10152,152,12,13,1,3.5,4,3,139,22373,23828,0.9,1702,3.2,3.3,2.8,188.04,38355.88,1.61,2302.43,38.35,120.57,285.91,513,1.33,Electronic,5,0.9,1.29,100
2025-08-12 00:00:00,Kp_250-240_128,30,2,10140,140,10,11.2,1.2,3.5,4,2.7,215,33546,30100,1.1,2461,3.4,3.9,2.7,227.00,36377.47,1.21,2598.34,38.75,109.21,243.44,462,1.44,Nonel,6,1.1,1.11,100
2025-08-14 00:00:00,Hn2_147-141_105,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,156,10506,10446,1.0,1001,3.2,3.4,2.5,160.02,11483.15,1.10,1026.78,40.33,108.68,238.21,412,1.36,Electronic,6,1.0,1.20,97.21
2025-08-16 00:00:00,Kp_250-240_129,30,2,10152,152,10,11.2,1.2,3.8,4.3,2.8,334,58836,54576,1.1,3609,3.8,4.1,2.8,350.30,60565.10,1.11,3785.08,26.64,102.6,248.95,383,1.17,Nonel,6,1.1,1.11,100
2025-08-16 00:00:00,Kp_250-240_130p2,30,2,10140,140,10,11.2,1.2,3.5,4,2.7,13,1122,1414,0.8,101,3.4,3.9,2.7,13.73,1274.81,0.90,106.64,38.25,116.29,258.74,558,1.3,Nonel,6,1.2,1.11,100
2025-08-19 00:00:00,Hn2_147-141_105p2,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,141,9151,9441,1.0,882,3.2,3.4,2.5,144.62,9950.83,1.05,904.66,40.33,108.68,238.21,412,1.36,Electronic,6,1.0,1.20,97.21
2025-09-02 00:00:00,VIM3_291-279_111,3,2,30165,165,12,13,1,4.5,4.5,3,346,65517,74823.75,0.9,3695,4.2,4.2,3,397.19,77625.51,1.04,4241.71,31.06,78.62,272.33,772,1.23,Nonel,6,0.9,0.94,91.41
2025-09-07 00:00:00,Kw_280-270_105,40,1,10152,152,10,11,1,3.9,4.3,2.8,467,78326,78316,1.0,4875,3.8,4.2,2.8,490.70,80957.72,1.03,5122.42,77.81,165.82,345.86,697,1.72,electronic,5,1.0,1.02,98.5
